SA2_CODE_2021,SA2_NAME_2021,High,Medium,Low,Very Low,High_Med_Exposed,Total_Exposed
305031128,Newstead - Bowen Hills,3377.0,2917.0,3170.0,1405.0,6294.0,10869.0
301031021,Wynnum West - Hemmant,4896.0,1239.0,1398.0,772.0,6135.0,8305.0
302031039,Nudgee - Banyo,4782.0,261.0,419.0,248.0,5043.0,5710.0
305011112,West End,544.0,4458.0,2659.0,1720.0,5002.0,9381.0
302031035,Boondall,4228.0,431.0,407.0,363.0,4659.0,5429.0
303051076,Rocklea - Acacia Ridge,2330.0,2289.0,1174.0,479.0,4619.0,6272.0
302011022,Bald Hills,4441.0,162.0,70.0,93.0,4603.0,4766.0
301031018,Tingalpa,3721.0,391.0,261.0,330.0,4112.0,4703.0
304031092,Chelmer - Graceville,186.0,3814.0,1603.0,1277.0,4000.0,6880.0
305011110,South Brisbane,262.0,3730.0,3191.0,1197.0,3992.0,8380.0
304031094,Indooroopilly,1368.0,2624.0,1448.0,904.0,3992.0,6344.0
304031096,St Lucia,125.0,3467.0,1444.0,1094.0,3592.0,6130.0
302041042,Brighton (Qld),2884.0,583.0,492.0,370.0,3467.0,4329.0
310011275,Oxley (Qld),2058.0,1154.0,1012.0,656.0,3212.0,4880.0
304021086,Bellbowrie - Moggill,1535.0,1674.0,1589.0,773.0,3209.0,5571.0
302041045,Taigum - Fitzgibbon,2635.0,488.0,816.0,1006.0,3123.0,4945.0
303051074,Pallara - Willawong,2343.0,547.0,888.0,819.0,2890.0,4597.0
305031130,Windsor,2427.0,435.0,420.0,323.0,2862.0,3605.0
303011051,Carindale,2458.0,297.0,189.0,147.0,2755.0,3091.0
304011081,Jindalee - Mount Ommaney,725.0,1718.0,931.0,710.0,2443.0,4084.0
302041044,Sandgate - Shorncliffe,1783.0,621.0,273.0,205.0,2404.0,2882.0
303011048,Cannon Hill,2165.0,111.0,75.0,145.0,2276.0,2496.0
305011109,New Farm,568.0,1706.0,2228.0,1354.0,2274.0,5856.0
305011105,Brisbane City,889.0,1343.0,2033.0,1370.0,2232.0,5635.0
302031038,Northgate - Virginia,1693.0,511.0,561.0,206.0,2204.0,2971.0
303011049,Carina,1758.0,397.0,331.0,259.0,2155.0,2745.0
305021117,Morningside - Seven Hills,1661.0,430.0,719.0,1287.0,2091.0,4097.0
301031020,Wynnum,1485.0,605.0,386.0,123.0,2090.0,2599.0
303021053,Coorparoo,1767.0,314.0,1635.0,1044.0,2081.0,4760.0
304011084,Seventeen Mile Rocks - Sinnamon Park,437.0,1582.0,1468.0,745.0,2019.0,4232.0
