Suburb,SA2_Code,latitude,longitude,Population,Dwellings,Pop_High_Risk,Pop_Medium_Risk,Pop_Low_Risk,Pop_VeryLow_Risk,Pop_High_Med_Exposed,Pop_Total_Exposed,dwel_total_exposed,dwel_high_med_exposed
Alexandra Hills,301011001,-27.53248354256474,153.22915132442512,16574,5881,0,0,0,0,0,0,0,0
Belmont - Gumdale,301011002,-27.50707938233107,153.15865920892966,7550,2399,1277,150,137,129,1427,1693,538,453
Birkdale,301011003,-27.499695395262474,153.2107447680882,15230,5465,6,0,0,0,6,6,2,2
Capalaba,301011004,-27.543066601192187,153.20295004155471,18254,6828,5,0,0,0,5,5,2,2
Thorneside,301011005,-27.4844336954537,153.20071226813997,3877,1620,5,0,0,0,5,5,2,2
Wellington Point,301011006,-27.494766747680742,153.24147264720648,11893,4174,0,0,0,0,0,0,0,0
Cleveland,301021007,-27.53293550403739,153.267483790099,15851,6589,0,0,0,0,0,0,0,0
Ormiston,301021008,-27.51009429485826,153.2551256939481,6379,2390,0,0,0,0,0,0,0,0
Redland Bay,301021009,-27.64786895522368,153.29082289872434,17765,6022,0,0,0,0,0,0,0,0
Sheldon - Mount Cotton,301021011,-27.607665160527443,153.21689898320415,8357,2607,0,0,0,0,0,0,0,0
Thornlands,301021012,-27.567664091678832,153.26089660399276,19263,6408,0,0,0,0,0,0,0,0
Victoria Point,301021013,-27.587064985964485,153.28689358094977,15140,5802,0,0,0,0,0,0,0,0
North Stradbroke Island,301021550,-27.545448495290103,153.45258098831638,2156,842,0,0,0,0,0,0,0,0
Manly - Lota,301031015,-27.46239016495684,153.18557935840337,7890,3016,1297,371,298,180,1668,2146,820,638
Manly West,301031016,-27.46747513008431,153.16595595748285,11860,4303,550,118,165,34,668,867,315,242
Murarrie,301031017,-27.453962853671595,153.10822375480925,4775,1769,1024,183,320,173,1207,1700,630,447
Tingalpa,301031018,-27.473579628568057,153.12705183683934,8881,3352,3721,391,261,330,4112,4703,1775,1552
Wakerley,301031019,-27.4827597629837,153.15686638727024,9446,2994,1750,103,152,150,1853,2155,683,587
Wynnum,301031020,-27.44038591072965,153.16711758219242,14502,5673,1485,605,386,123,2090,2599,1017,818
Wynnum West - Hemmant,301031021,-27.44971465841697,153.14098786836624,15681,5783,4896,1239,1398,772,6135,8305,3063,2262
Bald Hills,302011022,-27.30749556620436,153.01973882866974,7826,2704,4441,162,70,93,4603,4766,1647,1591
Bridgeman Downs,302011023,-27.35206407560144,152.99436084037157,10501,3458,903,75,111,97,978,1186,391,322
Carseldine,302011024,-27.347409029150334,153.0154656758517,9844,3593,714,567,508,230,1281,2019,737,467
Everton Park,302011025,-27.400760917359943,152.98737863463035,10044,4109,513,276,327,235,789,1351,553,323
McDowall,302011026,-27.382415002100892,152.99176230160424,7918,2744,435,20,24,16,455,495,172,158
Aspley,302021027,-27.366848487618903,153.01849568667657,12912,5072,902,567,612,335,1469,2416,949,577
Chermside,302021028,-27.38541149042989,153.03205404055785,11426,5393,689,201,170,92,890,1152,544,420
Chermside West,302021029,-27.383155795473147,153.0123958627816,6611,2390,410,75,113,51,485,649,235,176
Geebung,302021030,-27.37257148976468,153.04728473132397,4541,1622,440,155,268,196,595,1059,378,212
Kedron - Gordon Park,302021031,-27.406120951325207,153.03046763121716,14432,5864,818,130,342,407,948,1697,689,385
Stafford,302021032,-27.40949589718041,153.01025105142077,6917,2893,339,52,118,237,391,746,312,164
Stafford Heights,302021033,-27.396859972272235,153.0091717836652,7153,2608,80,24,26,10,104,140,51,38
Wavell Heights,302021034,-27.39221876948411,153.04754000592018,10344,3717,206,82,182,95,288,565,203,103
Boondall,302031035,-27.34879391650505,153.06971781894055,9596,3515,4228,431,407,363,4659,5429,1989,1707
Brisbane Airport,302031036,-27.39254196441923,153.1178131659942,125,5,67,17,15,9,84,108,4,3
Eagle Farm - Pinkenba,302031037,-27.43485246181235,153.09661325893163,2076,1058,312,210,306,494,522,1322,674,266
Northgate - Virginia,302031038,-27.38383981213341,153.06772237024467,7068,2715,1693,511,561,206,2204,2971,1141,846
