suburb,population_in_compound_zone
Western Heights (Auckland),178.8061534921465
Papakura East,131.74037464843667
Bayview East (Auckland),114.91187566997124
Stillwater,111.22351501757149
Cape Rodney,97.17083253229933
Browns Bay South East,75.84479765450747
Massey West,73.89486260457812
Glen Eden Konini,70.48791986803276
Red Hill,69.89874625472741
Massey South,68.01397037529144
Birkdale South,67.56033396656153
Hatfields Beach,62.740352938816436
Tawharanui Peninsula,61.120519941205934
Puhoi Valley,60.76114012423049
Birkenhead North West,59.754166537714646
Hillsborough South (Auckland),57.2084395383741
Kaipara Hills,56.72479944940865
Symonds Street East,56.615572380786226
Totara Vale South,56.501218667021504
Ararimu,56.12335367378859
Maraetai,55.308229974920565
Āwhitu,55.30632764534849
Long Bay,54.737763761698346
Browns Bay South West,54.5216374949659
Anselmi Ridge,54.51921674299367
Greenhithe East,53.95065527070688
Warkworth West,53.358462554081314
Waihoehoe,52.16045647470154
Kumeū-Huapai North,52.13872229495462
Birkenhead West,50.355774201093666
Swanson,49.95387329328976
Birkenhead South,49.587874564978044
Chatswood,48.72574540020225
Turanga,47.553108997687424
Mount Albert West,46.97674352408107
South Head,46.70381594414087
Wade Heads-Arkles Bay,43.7800577170781
Swanson Rural,43.721824085934216
Glen Eden West,43.20749141300138
Onetangi,43.1644004941596
Ostend,43.11572402041496
Ramarama,42.8837782256248
Northcross,42.87204065465137
Sunnyvale East,40.70653586456931
Surfdale,40.43557993597969
Kaukapakapa Rural,39.86703843496016
Greenhithe South,39.58031917081112
Kaurilands,38.941908318726846
Millwater North,38.34234129974999
Bayview South (Auckland),37.84536075939353
Waterview,37.57635044372053
Oneroa East-Palm Beach,37.56002925991067
Hillcrest West (Auckland),37.279208773584614
Tindalls-Matakatia,37.2092486609404
Bombay Hills,37.049967582521646
Waima-Woodlands Park,36.43306137050454
Titirangi East,35.50931073411986
Kawakawa Bay-Orere,34.77190144261111
Northcote South (Auckland),34.458897652155905
Glenfield South West,34.25560903900468
Helensville Rural,34.00503332162104
Cape Hill,32.87169366890162
Riverhead,32.71142532285628
Clevedon,31.94461813321351
Beach Haven South,31.580751480409575
Orakei East,31.384366027994115
Waiatarua,31.170631418554073
Waikoukou Valley,30.75468314450122
Twin Parks Rise,30.493515549920303
Massey Royal Road West,30.45399424901222
Wainui-Waiwera,29.812232023690267
Hunua,29.532298250906234
Mount Roskill West,29.331434000233916
Pinehill South,29.113776531974715
Helensville,28.96828030331131
Unsworth Heights West,28.964698027511425
Waiheke East,28.803750231119317
Te Puru,28.738326716903725
Schnapper Rock,28.25231619472584
Pukekohe North,28.084324407052815
Dome Valley-Matakana,28.044082311561798
Coatesville,27.3567439487598
Bayview West (Auckland),27.001720220592336
Ardmore,26.58647513290643
Army Bay,26.567798376758322
Mahurangi Peninsula,26.417662121921943
Mellons Bay,26.161161549632595
Albany Heights,26.016662667328916
Titirangi South,25.90824593988621
Orewa West,25.799646934565494
Okahukura Peninsula,25.73308047183491
Awaruku,25.440007005774987
Orewa North,25.111878519074967
Waitākere,24.017889196346637
Pāremoremo East,23.870774520213615
Birdwood West,23.70927097109461
Ōkura Bush,21.763110514687828
Cockle Bay,21.457719669664236
Birkenhead North,21.147157963586793
Whangaparāoa Central,21.107986577775918
Māngere Mountain View,21.014740646948912
Oneroa West,20.792492278220774
Oratia,20.434389795944277
Konini Road,20.110020892150683
Albany Central,19.46650434100688
Waipatukahu,19.357579451747057
Meadowbank West,19.296228561331066
Harbour View Heights,19.13528924984606
Shelly Park,18.884319761941228
Remuera West,18.1596667470332
Westmere South-Western Springs,18.091358041774047
Green Bay South,17.922759042364294
Glen Eden Rosier,17.898049166271434
Beach Haven East,17.663192068844214
Dairy Flat South,17.412610427778674
Hillsborough North (Auckland),17.37489728143356
Pāremoremo West,17.344286263770737
Mount Wellington North East,17.001679288358588
Glenbrook,16.569794696201242
The Gardens (Auckland),16.49984790985891
Glenfield West,15.8208745833311
Waimauku,15.74204918460469
Mairangi Bay North,14.953836521151507
Red Beach West,14.896311962118855
Wellsford,14.417183727655457
Red Beach East,14.044793003792549
Waitoki,13.978152783800319
Albany South,13.937215484104755
Vipond,13.831987752265558
Blockhouse Bay South,13.745373958697822
Patumāhoe Rural,13.663500946966684
Murrays Bay West,13.597030114989945
Sunnynook North,13.532496788683716
Howick West,13.21251873777968
Tuscany Heights,12.667354061440907
Fairview Heights,12.501281290936884
Mount Roskill North East,12.493225362426326
Sandspit,12.484511089028622
Mount Albert South,12.405836191077933
Puni,12.207600173389023
Waikowhai Bay,11.892227241399858
Ara Hill,11.850102880693862
Drury South Crossing,11.785026175139027
West Harbour West,11.594397651761627
Henderson Valley,11.447632280142459
Henderson West,11.323007991651506
Royal Heights South,11.289408675977631
